instance	seed	time	cut
soc-sign-Slashdot090221.graph	0	0.402229	-50248
soc-sign-Slashdot090221.graph	6	0.458824	-50208
soc-sign-Slashdot090221.graph	9	0.440686	-50274
soc-sign-Slashdot081106.graph	2	0.396822	-48950
soc-sign-Slashdot090221.graph	5	0.495674	-50220
soc-sign-epinions.graph	4	0.445838	-70052
soc-sign-epinions.graph	2	0.446563	-70106
soc-sign-epinions.graph	0	0.486276	-70087
soc-sign-Slashdot081106.graph	4	0.495047	-48910
soc-sign-Slashdot090216.graph	7	0.432963	-50259
soc-sign-Slashdot081106.graph	3	0.423165	-49004
soc-sign-epinions.graph	6	0.468988	-70131
soc-sign-Slashdot090216.graph	0	0.490483	-50222
soc-sign-epinions.graph	8	0.478753	-70124
soc-sign-Slashdot081106.graph	8	0.423656	-48971
soc-sign-Slashdot090221.graph	3	0.505768	-50232
soc-sign-Slashdot081106.graph	5	0.461332	-48924
soc-sign-Slashdot090221.graph	2	0.554155	-50261
slashdot-zoo.graph	0	0.499654	-53380
soc-sign-epinions.graph	9	0.470664	-70131
soc-sign-Slashdot090221.graph	4	0.550254	-50222
soc-sign-epinions.graph	7	0.486257	-70105
soc-sign-Slashdot090221.graph	7	0.55451	-50242
slashdot-zoo.graph	5	0.542922	-53414
slashdot-zoo.graph	7	0.567781	-53413
wikisigned-k2.graph	1	0.559354	-41210
slashdot-zoo.graph	6	0.519377	-53361
soc-sign-Slashdot090216.graph	1	0.525137	-50262
soc-sign-Slashdot081106.graph	7	0.549658	-48953
soc-sign-Slashdot090216.graph	8	0.519315	-50180
wikisigned-k2.graph	2	0.571188	-41214
soc-sign-epinions.graph	1	0.463528	-70091
slashdot-zoo.graph	1	0.61159	-53427
slashdot-zoo.graph	8	0.584537	-53382
soc-sign-Slashdot090216.graph	2	0.530127	-50195
soc-sign-Slashdot090216.graph	6	0.573518	-50136
wikisigned-k2.graph	0	0.636635	-41242
soc-sign-epinions.graph	3	0.520834	-70087
slashdot-zoo.graph	3	0.616901	-53357
soc-sign-Slashdot090216.graph	9	0.562592	-50166
soc-sign-Slashdot090221.graph	8	0.628164	-50185
wikisigned-k2.graph	7	0.686351	-41236
soc-sign-Slashdot081106.graph	6	0.584059	-48924
soc-sign-Slashdot081106.graph	0	0.583816	-48939
wikisigned-k2.graph	6	0.731493	-41217
slashdot-zoo.graph	2	0.650381	-53430
slashdot-zoo.graph	9	0.645204	-53365
soc-sign-Slashdot090216.graph	3	0.596885	-50197
wikisigned-k2.graph	8	0.67697	-41212
soc-sign-Slashdot090221.graph	1	0.62595	-50265
soc-sign-Slashdot090216.graph	4	0.642908	-50276
soc-sign-Slashdot081106.graph	9	0.651682	-48959
wikisigned-k2.graph	5	0.677109	-41164
wikisigned-k2.graph	9	0.738261	-41186
soc-sign-Slashdot081106.graph	1	0.688951	-48866
wikisigned-k2.graph	3	0.773795	-41195
soc-sign-epinions.graph	5	0.691611	-70116
soc-sign-Slashdot090216.graph	5	0.789257	-50249
slashdot-zoo.graph	4	0.794539	-52812
wikisigned-k2.graph	4	0.781988	-41206
wikiconflict.graph	1	2.34699	-2166710
wikiconflict.graph	9	2.3084	-2167064
wikiconflict.graph	3	2.40173	-2166995
wikiconflict.graph	4	2.37429	-2166781
wikiconflict.graph	5	2.41049	-2166745
wikiconflict.graph	2	2.52208	-2166690
wikiconflict.graph	8	2.53095	-2166670
wikiconflict.graph	0	2.43161	-2166753
wikiconflict.graph	6	2.47875	-2166961
wikiconflict.graph	7	3.06499	-2166694
cityscape34.graph	5	8.07017	-186016
cityscape34.graph	3	7.98122	-185173
cityscape34.graph	0	8.17048	-184483
cityscape34.graph	4	8.46727	-177484
cityscape34.graph	8	8.47354	-186441
cityscape34.graph	2	8.27732	-184693
cityscape34.graph	1	8.76605	-184534
cityscape34.graph	6	9.09488	-186614
cityscape34.graph	9	8.49456	-186110
cityscape34.graph	7	9.29835	-187085
cityscape52.graph	4	9.37883	-291675
cityscape52.graph	5	8.9631	-291599
cityscape52.graph	7	9.2044	-293378
cityscape52.graph	0	9.64403	-291665
cityscape52.graph	3	9.39428	-291972
cityscape52.graph	1	9.73626	-292343
cityscape52.graph	8	9.84443	-291697
cityscape52.graph	6	9.89009	-293224
cityscape52.graph	2	9.71123	-291915
cityscape52.graph	9	9.91692	-291076
cityscape7.graph	3	10.8955	-434511
cityscape7.graph	9	11.0655	-433188
cityscape7.graph	6	11.2021	-433243
cityscape7.graph	1	11.495	-433481
cityscape7.graph	4	11.75	-433325
cityscape7.graph	5	11.8291	-435564
cityscape7.graph	7	11.9648	-432953
cityscape7.graph	0	11.5995	-433124
cityscape7.graph	2	12.0071	-435037
cityscape7.graph	8	11.76	-435053
